#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2006gm  0.245   1    0.604    0.044   -0.026    0.046   21.140    0.117    2.581   53979.180  0.257
    sn2006ey  0.169   1    0.625    0.026   -0.135    0.033   19.281    0.079    6.711   53978.910  0.097
    sn2006fk  0.172   1    0.701    0.017    0.226    0.037   20.865    0.032   15.134   53995.396  0.182
    sn2006fl  0.172   1    1.685    0.040   -0.394    0.021   19.877    0.024    4.457   53996.188  0.281
    sn2006fc  0.122   1    1.537    0.033    4.145    0.018   24.528    0.094   43.284   53991.801  0.305
    sn2006ge  0.280   1    0.681    0.046    0.228    0.111   23.753    0.225    1.419   54043.096  0.801
    sn2006gu  0.238   1    1.439    0.080   -0.078    0.045   20.869    0.047    2.083   53980.351  0.485
    sn2006fr  0.307   1    0.701    0.093   -0.006    0.069   21.186    0.180    1.119   53979.659  0.348
    sn2006eb  0.018   0    2.600    0.000      NaN      NaN      NaN      NaN    6.574   53941.908  0.621
    sn2006fw  0.084   1    1.547    0.013    0.232    0.009   19.080    0.016   18.581   54001.507  0.073
    sn2006fv  0.132   1    0.570    0.007   -0.042    0.018   19.884    0.019   30.628   53993.713  0.068
    sn2006fj  0.190   1    1.409    0.048   -0.540    0.032   20.035    0.038    2.291   53991.117  0.470
    sn2006ew  0.140   1    0.805    0.046    0.257    0.026   19.826    0.067    6.317   53976.911  0.296
    sn2006ex  0.147   1    1.881    0.059   -0.107    0.022   19.996    0.034    2.615   53978.602  0.401
    sn2006fy  0.083   1    1.508    0.009    0.120    0.006   18.963    0.015   18.478   53999.302  0.054
    sn2006ff  0.235   1    1.602    0.100   -0.500    0.054   20.459    0.046    1.785   53978.212  0.721
    sn2006ft  0.258   1    1.518    0.118   -0.070    0.058   21.174    0.074    1.458   53981.436  0.653
    sn2006gh  0.248   1    1.593    0.099   -0.147    0.057   21.030    0.053    1.455   53994.710  0.887
    sn2006gl  0.265   1    0.552    0.086    0.029    0.060   21.603    0.171    2.837   53977.407  0.882
    sn2006fh  0.127   1    0.607    0.044    0.455    0.027   19.939    0.112    3.163   53978.993  0.088
    sn2006fx  0.224   1    1.465    0.045   -0.171    0.036   21.093    0.043    2.165   53991.756  0.500
    sn2006gn  0.104   1    1.788    0.017    0.064    0.011   19.246    0.020    9.932   53988.821  0.105
    sn2006fm  0.126   1    1.452    0.020   -0.015    0.013   19.482    0.020    9.889   54002.316  0.091
    sn2006fn  0.181   1    1.375    0.036   -0.191    0.033   20.479    0.033    2.293   53994.968  0.341
    sn2006fu  0.199   1    1.732    0.042   -0.506    0.029   20.138    0.037    2.258   53987.593  0.220
    sn2006fi  0.231   1    0.400    0.000      NaN      NaN      NaN      NaN    8.301   53996.060  0.074
    sn2006gb  0.266   1    0.613    0.028    0.069    0.052   21.333    0.060    4.063   53997.712  0.249
    sn2006fz  0.105   1    1.279    0.009    0.120    0.008   19.387    0.011   15.413   54003.074  0.044
    sn2006go  0.372   1    0.499    0.118    1.991    0.481   25.204    0.607    0.924   54042.453  0.859
    sn2006gg  0.204   1    1.615    0.043   -0.454    0.031   20.338    0.028    2.576   54000.851  0.198
    sn2006gx  0.181   1    1.552    0.053   -0.191    0.040   20.928    0.045    1.885   53994.636  0.548
    sn2006he  0.215   1    1.247    0.037   -0.310    0.044   20.456    0.033    6.893   54002.537  0.209
    sn2006jf  0.282   1    1.040    0.270    0.049    0.088   24.723    0.226    7.958   54060.768  2.878
    sn2006hr  0.158   1    1.626    0.025   -0.192    0.019   20.073    0.030    2.562   54006.113  0.153
