#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2005ib  0.393   0      NaN      NaN      NaN      NaN      NaN      NaN      NaN         NaN    NaN
    sn2005hz  0.131   1    1.118    0.033      NaN      NaN   20.025    0.106    0.963   53665.874  0.347
    sn2005ic  0.311   1    0.447    0.038      NaN      NaN   19.566    0.293    2.423   53659.787  0.454
    sn2005hc  0.046   1    1.071    0.004      NaN      NaN   17.095    0.015    4.871   53667.036  0.033
    sn2005ie  0.280   1    1.058    0.111      NaN      NaN   21.512    0.295    1.094   53664.483  1.251
    sn2005it  0.310   1    0.793    0.161      NaN      NaN   21.404    0.371    1.189   53660.025  1.845
    sn2005ht  0.187   1    1.016    0.059      NaN      NaN   18.684    0.433    0.995   53664.165  0.609
    sn2005if  0.067   1    0.932    0.010      NaN      NaN   18.535    0.044    2.127   53663.139  0.123
    sn2005ka  0.318   1    0.908    0.143      NaN      NaN   22.241    0.319    1.439   53667.652  1.666
    sn2005ih  0.260   1    1.201    0.096      NaN      NaN   20.638    0.335    0.917   53676.038  1.391
    sn2005iw  0.289   1    1.070    0.163      NaN      NaN   21.204    0.349    0.744   53670.956  1.805
    sn2005iv  0.300   1    0.924    0.118      NaN      NaN   18.688    0.473    1.665   53667.645  1.899
    sn2005jy  0.272   1    1.029    0.157      NaN      NaN   21.046    0.367    1.462   53670.969  1.984
    sn2005ig  0.281   1    0.815    0.078      NaN      NaN   21.787    0.279    1.258   53667.410  0.943
    sn2005ii  0.295   1    1.202    0.145      NaN      NaN   21.449    0.272    0.753   53674.028  1.641
    sn2005js  0.080   1    0.611    0.017      NaN      NaN   20.702    0.049    4.046   53666.217  0.185
    sn2005jk  0.191   1    0.893    0.054      NaN      NaN   20.728    0.231    0.768   53672.098  0.583
    sn2005ix  0.267   1    0.964    0.082      NaN      NaN   21.062    0.270    0.695   53673.962  1.261
    sn2005ij  0.124   1    0.910    0.009      NaN      NaN   19.471    0.036    2.814   53674.103  0.122
    sn2005id  0.186   1    1.063    0.047      NaN      NaN   19.306    0.267    1.289   53666.966  0.554
    sn2005hj  0.057   1    1.092    0.009      NaN      NaN   17.469    0.020    6.401   53673.878  0.071
    sn2005jd  0.314   1    1.073    0.113      NaN      NaN   21.804    0.244    0.885   53675.911  1.662
    sn2005ik  0.311   1    0.466    0.061      NaN      NaN   22.420    0.322    1.530   53670.809  0.666
    sn2005iu  0.090   1    0.991    0.019      NaN      NaN   18.349    0.058   17.403   53677.964  0.161
    sn2005iy  0.404   0    0.400    0.000      NaN      NaN      NaN      NaN    2.930   53693.424  0.841
    sn2005iz  0.204   1    0.743    0.063      NaN      NaN   20.517    0.362    0.663   53664.633  0.857
    sn2005ja  0.328   1    0.904    0.089      NaN      NaN   21.001    0.288    0.869   53672.603  1.254
    sn2005jc  0.213   1    1.021    0.070      NaN      NaN   20.755    0.236    0.719   53678.742  0.730
    sn2005jl  0.180   1    1.030    0.081      NaN      NaN   19.653    0.307    1.328   53679.493  0.935
    SDSS7017  0.269   1    1.581    0.064      NaN      NaN   20.420    0.100    1.862   53687.939  0.668
    sn2005jg  0.305   1    1.095    0.085      NaN      NaN   21.716    0.264    0.917   53677.221  1.517
    sn2005jh  0.110   1    0.790    0.013      NaN      NaN   19.564    0.039    1.471   53678.453  0.149
    sn2005jm  0.205   1    1.024    0.074      NaN      NaN   20.035    0.303    1.624   53684.993  0.919
    sn2005ji  0.216   1    1.600    0.000      NaN      NaN      NaN      NaN   37.515   53625.888  7.310
    sn2005jn  0.322   1    1.058    0.136      NaN      NaN   20.840    0.302    0.769   53672.870  1.583
    sn2005jo  0.219   1    1.075    0.089      NaN      NaN   20.295    0.359    1.182   53680.675  0.865
    sn2005jw  0.381   0    0.414    0.110      NaN      NaN      NaN      NaN    2.163   53662.011  1.399
    sn2005jp  0.213   1    1.110    0.079      NaN      NaN   18.134    0.475    1.812   53682.328  0.833
    sn2005ir  0.076   1    1.010    0.007      NaN      NaN   18.121    0.022    2.535   53684.446  0.069
    sn2005jv  0.422   0    0.850    0.281      NaN      NaN      NaN      NaN    0.516   53669.107  3.820
    sn2005ju  0.259   1    1.124    0.094      NaN      NaN   20.909    0.331    0.834   53682.940  1.140
    sn2005hk  0.013   1    1.154    0.002      NaN      NaN   15.683    0.011  749.582   53688.065  0.021
    sn2005ko  0.186   1    1.032    0.080      NaN      NaN   21.030    0.290    1.015   53683.652  0.763
    sn2005mi  0.215   1    0.923    0.035      NaN      NaN   20.471    0.330    1.558   53688.840  0.586
    sn2005jt  0.361   1    0.989    0.153      NaN      NaN   21.345    0.402    0.956   53683.251  2.034
    sn2005kp  0.118   1    1.000    0.018      NaN      NaN   19.347    0.037    1.400   53688.853  0.143
    sn2005ld  0.145   1    1.151    0.057      NaN      NaN   20.309    0.217    0.448   53693.367  0.686
    sn2005le  0.254   1    0.990    0.085      NaN      NaN   17.631    0.650    1.910   53687.835  0.965
    sn2005kq  0.391   0    1.600    0.000      NaN      NaN      NaN      NaN    1.476   53618.661 23.517
    sn2005lg  0.350   1    1.084    0.168      NaN      NaN   21.400    0.379    1.064   53687.083  1.725
    sn2005li  0.258   1    1.170    0.163      NaN      NaN   21.037    0.464    0.893   53688.139  1.608
    sn2005lh  0.220   1    0.753    0.153      NaN      NaN   19.124    0.628    1.155   53687.454  1.590
    sn2005lj  0.078   1    1.026    0.032      NaN      NaN   20.103    0.077    0.487   53694.515  0.371
    sn2005lk  0.104   1    1.056    0.030      NaN      NaN   19.197    0.055    0.731   53696.138  0.358
    sn2005ll  0.242   1    1.026    0.072      NaN      NaN   21.035    0.321    1.388   53695.261  1.154
    sn2005lf  0.301   1    1.338    0.216      NaN      NaN   21.667    0.417    0.742   53692.037  3.163
    sn2005ku  0.045   1    1.161    0.011      NaN      NaN   17.341    0.031    7.418   53698.321  0.169
    sn2005ml  0.118   1    1.144    0.044      NaN      NaN   18.893    0.037    0.547   53701.423  0.484
    sn2005mm  0.383   0    1.600    0.000      NaN      NaN      NaN      NaN    0.852   53623.260 19.655
