cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
10915,Unknown,21,21,0,0.2244,53677.53441171763,1.057075624333479e-09,nan,0.5611363430325582,5.797765483424059e-11,122.99704645803999,61,Minimization exited successfully.
10928,zSNII,16,16,0,0.081883,53684.5921887479,5.652790257760326e-09,nan,0.2088809728556953,9.38599237512508e-11,535.3969791222012,30,Minimization exited successfully.
10936,Unknown,16,16,0,0.066168,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
10976,zSNII,22,22,0,0.095606,53678.68897035358,4.876500681065216e-09,nan,0.28051963398684165,1.58913962039809e-10,322.4795330702543,42,Minimization exited successfully.
10991,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10997,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10998,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
11016,Unknown,18,18,0,0.051544,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
11017,zSNII,18,18,0,0.21,53670.22784127429,1.1137139595123674e-09,nan,0.569107133338548,8.107224128662315e-11,366.4001809274909,52,Minimization exited successfully.
11026,zSNIa,19,19,0,0.284202,53676.499654369654,1.98682719856393e-09,nan,0.41958179998982814,9.983706427933229e-11,169.99627545905614,55,Minimization exited successfully.
11067,SNIa,22,22,0,0.117758,53687.85129905131,1.4153474774541148e-08,nan,0.1114542043687834,1.158063339642295e-10,579.9667724523504,42,Minimization exited successfully.
11083,Unknown,18,18,0,0.121929,53678.575831382965,2.7304002743042217e-09,nan,0.3546206675018766,1.646997512258149e-10,63.673564029989805,34,Minimization exited successfully.
11092,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
11093,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
11094,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
11097,Unknown,21,21,0,0.196,53685.50140301074,3.1823806367024005e-09,nan,0.21463046074131853,4.9449312672334694e-11,944.0683221798521,61,Minimization exited successfully.
11098,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
11100,Unknown,20,20,0,0.210047,53685.077444620685,1.74134898382612e-09,nan,0.3716870686112088,5.669153350483555e-11,210.0900932565574,59,Minimization exited successfully.
11102,Unknown,19,19,0,0.153917,53684.74911487983,2.8082928787033295e-09,nan,0.2191911178342707,4.6432012646145557e-11,223.50869834176774,56,Minimization exited successfully.
11117,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
11119,zSNII,21,21,0,0.115319,53681.98855214251,1.8035170225530145e-09,nan,0.6862029152143805,1.4022213762398033e-10,41.90405434252064,40,Minimization exited successfully.
11120,zSNIa,20,21,0,0.107264,53684.418405995195,1.0966841999196248e-08,nan,0.09242057966912398,1.3075170669250367e-10,182.85618296347818,39,Minimization exited successfully.
11141,Unknown,20,21,0,0.333177,53655.302054001986,4.1741407170436956e-10,nan,3.8090802445003646,4.142336173051154e-11,197.19508033909332,59,Minimization exited successfully.
11142,zSNII,21,20,0,0.238017,53695.847693305324,1.17048130461342e-09,nan,0.9711979105159116,3.2991214584594427e-10,162.93734164939713,59,Minimization exited successfully.
11156,zSNIa,21,21,0,0.309079,53683.17638318728,1.5394610980612887e-09,nan,0.41723788234594394,5.649965673452386e-11,234.12002368312147,61,Minimization exited successfully.
11157,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
