    INFO (2020-05-19 16:32:40,606): root - Fetching data for <13677> (32 / 938)
   DEBUG (2020-05-19 16:32:40,760): root - Formatting table for <13677>
   DEBUG (2020-05-19 16:32:40,760): root - Fetching t0 for <13677>
    INFO (2020-05-19 16:32:40,761): root - Found t0 for <13677>. t0 = 2454000.9
    INFO (2020-05-19 16:32:40,802): root - Formatted table for <13677> has 0 spectra
   DEBUG (2020-05-19 16:32:40,802): root - Finished with target


    INFO (2020-05-19 16:32:40,802): root - Fetching data for <12782> (33 / 938)
   DEBUG (2020-05-19 16:32:40,919): root - Formatting table for <12782>
   DEBUG (2020-05-19 16:32:40,919): root - Fetching t0 for <12782>
    INFO (2020-05-19 16:32:40,920): root - Found t0 for <12782>. t0 = 2453988.6
    INFO (2020-05-19 16:32:40,943): root - Formatted table for <12782> has 1 spectra
    INFO (2020-05-19 16:32:40,944): root - Using template II
    INFO (2020-05-19 16:32:40,952): root - snid usetype=II rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/12782_6.90.dat
   DEBUG (2020-05-19 16:32:41,840): root - Finished with target


    INFO (2020-05-19 16:32:41,841): root - Fetching data for <6479> (34 / 938)
   DEBUG (2020-05-19 16:32:41,989): root - Formatting table for <6479>
   DEBUG (2020-05-19 16:32:41,990): root - Fetching t0 for <6479>
    INFO (2020-05-19 16:32:41,991): root - Found t0 for <6479>. t0 = 2453667.8
    INFO (2020-05-19 16:32:42,023): root - Formatted table for <6479> has 0 spectra
   DEBUG (2020-05-19 16:32:42,024): root - Finished with target


    INFO (2020-05-19 16:32:42,024): root - Fetching data for <17987> (35 / 938)
   DEBUG (2020-05-19 16:32:42,124): root - Formatting table for <17987>
   DEBUG (2020-05-19 16:32:42,124): root - Fetching t0 for <17987>
    INFO (2020-05-19 16:32:42,125): root - Found t0 for <17987>. t0 = 2454399.1
    INFO (2020-05-19 16:32:42,142): root - Formatted table for <17987> has 0 spectra
   DEBUG (2020-05-19 16:32:42,142): root - Finished with target


    INFO (2020-05-19 16:32:42,142): root - Fetching data for <21669> (36 / 938)
   DEBUG (2020-05-19 16:32:42,364): root - Formatting table for <21669>
   DEBUG (2020-05-19 16:32:42,364): root - Fetching t0 for <21669>
    INFO (2020-05-19 16:32:42,364): root - t0 not available for <21669>
   DEBUG (2020-05-19 16:32:42,365): root - Finished with target


    INFO (2020-05-19 16:32:42,365): root - Fetching data for <13000> (37 / 938)
   DEBUG (2020-05-19 16:32:42,539): root - Formatting table for <13000>
   DEBUG (2020-05-19 16:32:42,540): root - Fetching t0 for <13000>
    INFO (2020-05-19 16:32:42,540): root - t0 not available for <13000>
   DEBUG (2020-05-19 16:32:42,540): root - Finished with target


    INFO (2020-05-19 16:32:42,540): root - Fetching data for <18298> (38 / 938)
   DEBUG (2020-05-19 16:32:42,633): root - Formatting table for <18298>
   DEBUG (2020-05-19 16:32:42,633): root - Fetching t0 for <18298>
    INFO (2020-05-19 16:32:42,635): root - Found t0 for <18298>. t0 = 2454374.9
    INFO (2020-05-19 16:32:42,651): root - Formatted table for <18298> has 1 spectra
    INFO (2020-05-19 16:32:42,651): root - Using template Ia
    INFO (2020-05-19 16:32:42,657): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/18298_9.60.dat
   DEBUG (2020-05-19 16:32:45,794): root - Finished with target


    INFO (2020-05-19 16:32:45,794): root - Fetching data for <16314> (39 / 938)
   DEBUG (2020-05-19 16:32:46,044): root - Formatting table for <16314>
   DEBUG (2020-05-19 16:32:46,044): root - Fetching t0 for <16314>
    INFO (2020-05-19 16:32:46,045): root - Found t0 for <16314>. t0 = 2454067.1
    INFO (2020-05-19 16:32:46,115): root - Formatted table for <16314> has 3 spectra
    INFO (2020-05-19 16:32:46,116): root - Using template Ia
    INFO (2020-05-19 16:32:46,126): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/16314_-11.60.dat
    INFO (2020-05-19 16:32:47,537): root - Using template Ia
    INFO (2020-05-19 16:32:47,547): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/16314_-5.60.dat
    INFO (2020-05-19 16:32:48,940): root - Using template Ia
    INFO (2020-05-19 16:32:48,946): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/16314_3.40.dat
   DEBUG (2020-05-19 16:32:52,234): root - Finished with target


    INFO (2020-05-19 16:32:52,234): root - Fetching data for <19029> (40 / 938)
   DEBUG (2020-05-19 16:32:52,390): root - Formatting table for <19029>
   DEBUG (2020-05-19 16:32:52,390): root - Fetching t0 for <19029>
    INFO (2020-05-19 16:32:52,392): root - Found t0 for <19029>. t0 = 2454390.1
    INFO (2020-05-19 16:32:52,433): root - Formatted table for <19029> has 1 spectra
    INFO (2020-05-19 16:32:52,434): root - Using template Ia
    INFO (2020-05-19 16:32:52,446): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/19029_-2.60.dat
   DEBUG (2020-05-19 16:32:56,677): root - Finished with target


    INFO (2020-05-19 16:32:56,677): root - Fetching data for <7335> (41 / 938)
   DEBUG (2020-05-19 16:32:56,777): root - Formatting table for <7335>
   DEBUG (2020-05-19 16:32:56,778): root - Fetching t0 for <7335>
    INFO (2020-05-19 16:32:56,780): root - Found t0 for <7335>. t0 = 2453675.7
    INFO (2020-05-19 16:32:56,799): root - Formatted table for <7335> has 1 spectra
    INFO (2020-05-19 16:32:56,799): root - No recorded type for <7335>
   DEBUG (2020-05-19 16:32:56,800): root - Finished with target


    INFO (2020-05-19 16:32:56,800): root - Fetching data for <18855> (42 / 938)
   DEBUG (2020-05-19 16:32:56,894): root - Formatting table for <18855>
   DEBUG (2020-05-19 16:32:56,894): root - Fetching t0 for <18855>
    INFO (2020-05-19 16:32:56,896): root - Found t0 for <18855>. t0 = 2454386.5
    INFO (2020-05-19 16:32:56,912): root - Formatted table for <18855> has 1 spectra
    INFO (2020-05-19 16:32:56,912): root - Using template Ia
    INFO (2020-05-19 16:32:56,918): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/18855_-4.00.dat
   DEBUG (2020-05-19 16:33:00,195): root - Finished with target


    INFO (2020-05-19 16:33:00,196): root - Fetching data for <2017> (43 / 938)
   DEBUG (2020-05-19 16:33:00,360): root - Formatting table for <2017>
   DEBUG (2020-05-19 16:33:00,360): root - Fetching t0 for <2017>
    INFO (2020-05-19 16:33:00,362): root - Found t0 for <2017>. t0 = 2453636.4
    INFO (2020-05-19 16:33:00,402): root - Formatted table for <2017> has 1 spectra
    INFO (2020-05-19 16:33:00,403): root - Using template Ia
    INFO (2020-05-19 16:33:00,410): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/2017_0.10.dat
   DEBUG (2020-05-19 16:33:05,448): root - Finished with target


    INFO (2020-05-19 16:33:05,449): root - Fetching data for <20889> (44 / 938)
   DEBUG (2020-05-19 16:33:05,565): root - Formatting table for <20889>
