obj_id,z,z_err,num_points_desu,num_points_desg,t0,amplitude,t0_err,amplitude_err,chi,dof,message
des_01307830.dat,0.3493,0.001,0,0,57268.20681565931,2.6741072749315014e-11,0.2887799298950995,4.0420617046749606e-13,135.29135271012754,25,Minimization exited successfully.
des_01308314.dat,0.4065,0.005,0,0,56959.72167810021,5.2763920660682767e-11,0.3600905267194321,9.60364429437557e-13,507.60052361248415,31,Minimization exited successfully.
des_01308326.dat,0.3262,0.001,0,0,56961.77494392186,1.2315127958765512e-10,0.23098509213377838,2.111208901419631e-12,173.27105854676702,12,Minimization exited successfully.
des_01308568.dat,0.6431,0.005,0,0,57268.3436792121,3.612359567250744e-11,0.8718044881497917,3.877749759715025e-12,37.9009479609032,15,Minimization exited successfully.
des_01308582.dat,0.3669,0.001,0,0,57272.93261155782,3.739244315192329e-11,0.580074361354491,1.1926292352291714e-12,36.46251243654355,23,Minimization exited successfully.
des_01308884.dat,0.0772,0.001,0,9,57279.463210703805,1.5827033175716403e-09,0.03229228610143764,8.132300015406764e-12,875.6274395245616,7,Minimization exited successfully.
des_01308957.dat,0.6187,0.005,0,0,57264.81327994276,2.6492104354169616e-11,1.280848350172164,2.7673610003393684e-12,52.11205272274012,15,Minimization exited successfully.
des_01309288.dat,0.2684,0.001,0,0,56983.5895858331,2.632737702952598e-10,4.199338913327665,5.858283162232597e-11,1.9854124293139654,3,Minimization exited successfully.
des_01309492.dat,0.3335,0.001,0,0,56973.06849444771,5.4210878631015295e-11,0.05909235575381899,3.234902056677829e-13,2663.5173920688985,24,Minimization exited successfully.
des_01309749.dat,0.7893,0.01,0,0,56959.77343865795,1.0978399407433283e-11,0.5830196841925499,3.7598191121881605e-13,66.06486516844538,16,Minimization exited successfully.
des_01310338.dat,0.4388,0.01,0,0,56959.220167945234,5.792529056957723e-11,0.2786294383222412,1.081593318409911e-12,262.6736588844308,21,Minimization exited successfully.
des_01310395.dat,0.289,0.01,0,0,56963.54861914676,9.970253034189731e-11,0.1982082908434677,1.9515246425424777e-12,86.43329623205567,14,Minimization exited successfully.
des_01312274.dat,0.438,0.006,0,0,56959.99203876957,4.079174298674508e-11,0.561868708806287,1.3207751099873217e-12,88.33405150800793,26,Minimization exited successfully.
des_01313594.dat,0.2883,0.001,0,0,56989.13007405845,1.6448578586271837e-10,0.283321804676234,2.5950263470310303e-12,383.6043739333105,8,Minimization exited successfully.
des_01314897.dat,0.3369,0.005,0,0,57283.06638647842,5.531084461519057e-11,0.27362100168829784,1.4239780402767803e-12,200.02980404573373,20,Minimization exited successfully.
des_01315192.dat,0.2254,0.001,0,0,56992.58973758347,3.449201868027757e-10,0.15302027688812814,8.574447478776049e-12,16.809829634971702,3,Minimization exited successfully.
des_01315259.dat,0.228,0.001,0,0,56988.48349259798,1.6199126577672738e-10,0.22050708909591776,2.3522472637713264e-12,111.31828384238969,6,Minimization exited successfully.
des_01315296.dat,0.4126,0.001,0,0,56988.53224671284,3.724773230408348e-11,0.6131483817152912,1.4111563016185102e-12,112.53824067552819,21,Minimization exited successfully.
des_01316385.dat,0.1478,0.001,0,6,57002.604825945746,1.795971604535612e-09,0.17594057608221192,3.590166958566775e-11,104.78087601617688,5,Minimization exited successfully.
des_01316431.dat,0.1981,0.005,0,0,57002.70107488405,3.7392638475832796e-10,0.0792958723832271,2.9381426325665613e-12,847.3615728359905,6,Minimization exited successfully.
des_01316437.dat,0.482,0.001,0,0,56987.71507276707,2.8928782772535467e-11,1.3177233581081964,1.4634753677452337e-12,28.394040009453,9,Minimization exited successfully.
des_01316465.dat,0.3291,0.001,0,0,57006.15336471376,5.157467006278873e-11,0.08210041686834302,3.6487837721205764e-13,1548.8109881122896,7,Minimization exited successfully.
des_01317164.dat,0.1547,0.001,0,0,57299.07986140587,1.2979855300682255e-10,0.7867547304595064,5.5992574911284135e-12,12.184014986281703,3,Minimization exited successfully.
des_01317277.dat,0.2371,0.001,0,0,56991.386749217105,1.4696883391653318e-10,0.2738893562745943,3.488958072334987e-12,21.681678192902837,8,Minimization exited successfully.
des_01317286.dat,0.279,0.01,0,0,56995.58383251,1.859634992056098e-10,0.13596703570510726,2.0590396600544004e-12,698.755942250379,10,Minimization exited successfully.
des_01317454.dat,0.5688,0.01,0,0,56993.5202655932,2.2731774371477784e-11,1.1815653735102387,1.36236770392276e-12,35.75391550599443,6,Minimization exited successfully.
