cid,num_points_91bg_proj_csp_u,num_points_91bg_proj_csp_g,num_points_91bg_proj_csp_r,num_points_91bg_proj_csp_i,num_points_91bg_proj_csp_B,num_points_91bg_proj_csp_V0,num_points_91bg_proj_csp_V1,num_points_91bg_proj_csp_V,num_points_91bg_proj_csp_Y,num_points_91bg_proj_csp_H,num_points_91bg_proj_csp_J,num_points_91bg_proj_csp_Jrc2,num_points_91bg_proj_csp_Ydw,num_points_91bg_proj_csp_Jdw,num_points_91bg_proj_csp_Hdw,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
2007st,12,13,13,13,11,0,0,8,18,10,14,0,6,0,0,0.0212,1520.4913158056743,5.926401326484044e-06,-7.52566566954143,0.35632333838444685,0,0.6932152034158889,1.2583375712464308e-05,16.5348167735815,1.5181906211494889,113720718.54221913,66,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2007ux,7,17,17,16,17,0,0,22,15,16,10,0,14,0,0,0.0309,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.030900
    t0 = +1513.485572
    x0 = +9372233690970.777344
    x1 = +344703.326736
     c = +6277191.860526
"
2008C,6,16,20,18,11,0,0,15,3,12,14,0,6,0,0,0.0166,1533.9034161468344,2.750666111316751e-06,10.215503749059565,0.2142434658451043,0,1.3742130463432431,8.412043943751364e-07,3.907061676790371,0.22398937093143745,75995847.72098757,82,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2008J,8,10,10,9,10,0,0,10,10,3,11,0,0,0,0,0.0159,1525.6595909518821,2.5876983773077714e-09,12735.811294269715,0.048999678443830325,0,1.8690260357843727,2.1889589246564834e-09,9407.920926114271,0.1242222888426489,127802481.18278751,53,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2008O,6,10,14,9,16,0,0,18,16,5,5,0,4,0,0,0.0389,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.038900
    t0 = +1587.319798
    x0 = +954627394170.363647
    x1 = -26745.464595
     c = +5455638.744377
"
2008R,10,11,12,13,10,0,0,12,15,9,14,0,1,0,0,0.0135,1520.9565570460736,2.8334144290886454e-06,6.062070863583841,-0.15092314128772535,0,0.13167704576983397,5.1917313053671453e-08,0.350826088894268,0.018612140815264626,1866.81537101764,64,Minimization exited successfully.
2008ae,2,2,5,5,8,0,0,18,17,16,20,0,8,0,0,0.03,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.030000
    t0 = +1617.977767
    x0 = -1198139778446.597412
    x1 = -1375.553075
     c = -62679.057602
"
2008ar,8,18,18,18,18,0,0,18,16,7,7,0,4,0,0,0.0261,1599.4378031576766,3.6615504461177184e-06,2.0251102271054737,0.04310930969073514,0,0.267037947990616,2.0806446164484661e-07,0.8423221298642835,0.035212922063248976,180283141.2715255,94,Covariance may not be accurate.
2008bc,29,22,16,22,30,0,0,23,14,18,21,0,10,0,0,0.0151,1655.6175535710472,4.55574108072057e-08,829.3855346260209,0.11880649957200248,0,0.30004799843538876,2.2866827711140262e-08,418.1194094644317,0.04524326716347351,703080107.304661,138,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2008bd,0,10,9,16,11,0,0,10,6,1,1,0,2,0,0,0.0301,1549.5405417623974,2.5288533067797877e-06,39.29354387065786,-0.12448109633401107,0,0.13284432135060342,7.842236700584304e-08,2.0700981176638082,0.05899891095943802,1390.7605626932805,52,Minimization exited successfully.
