cid,class,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
17059,Unknown,0,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17061,Unknown,1,0.41407958775874504,54051.152860067465,7.29634096835076e-10,0.031842472061843236,0.6453711293652304,6.813058341363148e-11,108.98949035773823,126,Minimization exited successfully.
17062,Variable,0,0.310882,54037.44797319256,5.092603088527038e-10,nan,1.3027937812039454,3.7238615657815874e-11,671.4669652397861,65,Minimization exited successfully.
17063,Variable,0,0.16701,53857.4034025657,6.705947735730681e-09,nan,9.462266877704678,9.288717757050248e-10,915.200442544845,55,Minimization exited successfully.
17064,Variable,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17065,pSNII,1,0.13516842619752478,53999.39287036739,5.128991590195703e-10,0.01997527330270498,0.9617661747361126,3.542596379398916e-11,153.01380055442104,60,Minimization exited successfully.
17066,Variable,0,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17067,Unknown,0,0.374316,53819.83615987226,1.0470593362703615e-08,nan,168.67154525345904,1.0000009999995,329.04085237025254,64,Covariance may not be accurate.
17068,zSNIa,0,0.387771,53941.44198811263,6.430668339234816e-10,nan,7.452839038287493,2.4134915834075503e-10,178.17462498046223,58,Minimization exited successfully.
17071,Unknown,1,0.22243274199838986,54057.30130946027,3.4782660221934752e-09,0.054432366589721615,1.2296169401124644,1.7579533638679832e-09,83.33113649322564,54,Minimization exited successfully.
17073,Unknown,1,0.4154123216862718,54041.476980068364,4.408980173116459e-10,0.031061509332587528,1.1004354530559795,3.748427494535063e-11,58.656996648399144,54,Minimization exited successfully.
17075,pSNII,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17076,pSNII,1,0.4132394670498566,54001.61647691513,3.1603282904591193e-10,0.026634040464868558,1.342728654955863,3.6760594965329596e-11,197.84116505953938,63,Minimization exited successfully.
17077,Unknown,0,0.121007,53999.914066250334,3.3388139051884457e-10,nan,1.585599887323042,4.359473983209859e-11,477.3885561062843,58,Minimization exited successfully.
17078,Variable,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17079,Variable,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17080,Variable,0,0.303636,53842.06694730056,7.487560542338127e-09,nan,17.083209103169793,8.059564711210955e-10,168.90661943224768,58,Minimization exited successfully.
17081,SNIa,0,0.275823,54047.30432803984,4.0834187604561237e-10,nan,0.9947321349027334,3.699095830172466e-11,128.68698154516528,127,Minimization exited successfully.
17082,Variable,1,0.5677564531630378,53998.83182869417,1.1548172670281065e-09,0.0161156281765083,0.4888881791885069,4.8858275379333855e-11,812.5427502737307,57,Minimization exited successfully.
17086,Unknown,1,0.3620901948664122,54044.65183451514,4.742616247541922e-10,0.05570454944406483,1.1865388987062033,6.170301392041086e-11,221.54812413229783,63,Minimization exited successfully.
17087,Unknown,0,0.250527,54052.13913126565,8.562826603390264e-10,nan,0.06805497206005384,8.895007398674424e-11,131.61246081293717,64,Minimization exited successfully.
17088,Variable,0,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17089,Unknown,1,0.42511191009075794,54053.051738822636,2.4321667089415384e-09,0.04801139382751701,1.1206440863279568,6.928282472324963e-10,77.81981150897094,57,Minimization exited successfully.
17090,Variable,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17091,Unknown,0,0.119149,53988.472069665644,-2.3838173902936744e-11,nan,5.9081585214153165,3.453919499596619e-11,343.84684004386133,57,Minimization exited successfully.
