cid,class,num_points_sdssu,num_points_sdssg,num_points_sdssr,num_points_sdssi,num_points_sdssz,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
7512,SNIa,25,25,25,25,25,0,0.219,53682.53702597721,1.7281629922242138e-05,0.5136007060565748,0.09753679105808653,nan,0.35211191817143117,4.5334538490049587e-07,0.36538203728315694,0.02363966933481301,113.6632106169141,121,Minimization exited successfully.
7515,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7517,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7525,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7527,zSNIa,20,20,20,20,20,0,0.237,53678.17549408838,8.529983870153699e-06,1.7547182852062901,0.3054836771025014,nan,0.9432628333488537,3.9883550129672133e-07,0.8793388716875783,0.0439237141503828,104.7572388516273,96,Minimization exited successfully.
7539,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7548,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7549,Unknown,17,17,18,17,17,0,-9.3e-05,53690.524824992775,1.2519789752802031e-05,-11.115920626321321,-0.272950329520981,nan,0.5621658290583582,3.2448893952504602e-06,1.937132861618939,0.17357554110674708,874.9169204118259,65,Minimization exited successfully.
7550,zSNIa,39,38,39,39,39,0,0.16237,53676.03638050048,5.5070987745461365e-06,-2.040796026446664,0.13648703872359597,nan,0.7429818643649924,2.9457692272140694e-07,1.0914297780608666,0.06918140587451145,209.220727633096,151,Minimization exited successfully.
7556,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
