cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
8128,zSNIa,0,16,0,0.439722,53660.05851302078,6.100019470844899e-06,6.636862498196935,0.10673268857537892,nan,1.359429647669458,6.862665469072943e-07,2.1507486983362782,0.07775141996128254,27.951692806932144,44,Minimization exited successfully.
8133,Unknown,0,0,0,2.65171,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8135,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8138,zSNIa,0,20,0,0.397867,53685.539592795,8.490769745919579e-06,0.3618336526423782,-0.23911883716006507,nan,0.7373376153045683,5.607184129724679e-07,0.7492528957493465,0.035072298594240825,73.6461679336508,56,Minimization exited successfully.
8151,SNIa,17,17,0,0.013004,53684.20551946499,0.0028037882263762573,-1.6467910283443177,-0.07606459961009318,nan,0.02065602182847215,7.095723373237551e-06,0.012515197109547854,0.0054199034689498575,6911.705619898523,30,Minimization exited successfully.
8160,zSNIa,0,23,0,0.408152,53666.88565568387,6.059769945016105e-06,-1.555085324861146,0.04506629067477896,nan,1.0593489205675723,5.073643303169117e-07,1.1670611216414575,0.09816834034870664,65.55261342056195,65,Minimization exited successfully.
8165,zSNIa,26,26,0,0.319,53682.59471999301,7.322466485434909e-06,1.5572797714181659,-0.09940227474377032,nan,0.9665165572005208,5.597599389675095e-07,1.1150144821714356,0.06432173067432688,95.941538596123,74,Minimization exited successfully.
8189,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8190,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8195,zSNIa,22,23,0,0.268761,53683.170976470254,8.961927840867535e-06,1.6211191989675666,0.07351246398988535,nan,1.048304777854355,7.068923314495881e-07,1.0696810374977848,0.07252962752554573,40.8562297872138,63,Minimization exited successfully.
8196,zSNIbc,21,22,0,0.080016,53677.71580938111,1.3940744352455712e-05,-3.6711736785101876,-0.3085868469592784,nan,0.4656429593778739,5.796733988758564e-07,0.775525959288771,0.06326010722719153,53.10015674061335,39,Minimization exited successfully.
8213,SNIa,20,20,0,0.186112,53683.59831018477,2.1597088026420747e-05,-0.7252372090017895,0.15570493700380875,nan,0.3216141528901062,6.95594758903701e-07,0.3355487191009236,0.03580795169016222,58.257940117872515,56,Minimization exited successfully.
8216,zSNIa,22,23,0,0.291349,53681.987535342916,9.019130090121878e-06,-0.5639559941438699,0.086792184172647,nan,0.9668998954366543,5.709839762104131e-07,0.9115534607376208,0.07224431876580177,62.53651552944431,63,Minimization exited successfully.
8217,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8226,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
